District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
Kupwara,158438.0,51.0,7.2,6.5448,4.6,9.271799999999999,23226.0,23226.0,1927.7580000000003,11357.514
Kupwara,158438.0,50.2,6.9,6.279,4.8,9.282,23226.0,23226.0,1834.854,11822.034
Kupwara,158438.0,42.2,4.5,4.130999999999999,6.6,10.0062,23226.0,23226.0,1114.848,16304.652
Badgam,160649.0,44.5,3.7,3.5964000000000005,6.7,9.5256,27190.0,27190.0,1060.41,22649.27
Badgam,160649.0,43.0,3.5,3.4055,8.1,9.0489,27190.0,27190.0,1033.22,22921.17
Badgam,160649.0,33.2,2.4,2.3543999999999996,17.9,5.9841,27190.0,27190.0,706.94,24579.76
Leh(Ladakh),36920.0,50.8,2.0,1.972,1.7,4.3384,17474.0,17474.0,366.954,15394.594
Leh(Ladakh),36920.0,51.8,1.8,1.7766,2.6,3.2571,17474.0,17474.0,314.532,15796.496000000001
Leh(Ladakh),36920.0,54.2,1.1,1.0857,4.8,0.987,17474.0,17474.0,192.21400000000003,16740.092
Kargil,40370.0,70.5,3.1,2.9884000000000004,1.3,50.9956,7774.0,7774.0,272.09,7525.232
Kargil,40370.0,70.1,2.8,2.7076,2.8,51.0576,7774.0,7774.0,248.76800000000003,7533.006000000001
Kargil,40370.0,67.8,1.2,1.1844,10.8,51.422700000000006,7774.0,7774.0,93.288,7579.65
Punch,132139.0,48.4,2.1,1.7892000000000001,1.1,1.1076000000000001,15269.0,15269.0,366.45599999999996,2091.853
Punch,132139.0,46.7,2.0,1.726,2.7,1.1219,15269.0,15269.0,351.18699999999995,2855.303
Punch,132139.0,27.1,0.7,0.6950999999999999,20.8,1.6881,15269.0,15269.0,122.152,11497.556999999999
Rajouri,196070.0,47.0,2.3,2.0883999999999996,0.9,0.7264,17508.0,17508.0,472.71600000000007,1785.8159999999998
Rajouri,196070.0,45.4,2.3,2.0999,2.0,0.9129999999999999,17508.0,17508.0,455.208,2503.6440000000002
Rajouri,196070.0,17.9,1.7,1.6761999999999997,20.3,4.1412,17508.0,17508.0,297.63599999999997,14969.34
Kathua,181374.0,35.3,3.3,3.2207999999999997,1.3,0.488,33473.0,33473.0,1171.555,4753.166
Kathua,181374.0,34.0,3.3,3.2307,2.2,1.3706,33473.0,33473.0,1138.0819999999999,7397.533
Kathua,181374.0,26.7,3.1,3.0721,7.3,6.3424000000000005,33473.0,33473.0,1037.663,22460.382999999998
Baramula,210543.0,44.1,5.0,4.845,10.4,9.8838,48932.0,48932.0,2593.396,36356.476
Baramula,210543.0,42.2,5.0,4.865,13.1,9.243500000000001,48932.0,48932.0,2544.464,37971.231999999996
Baramula,210543.0,33.4,5.0,4.94,25.6,6.422,48932.0,48932.0,2446.6,45262.1
Bandipore,80521.0,51.3,7.0,6.734,8.3,7.9846,17555.0,17555.0,1299.07,12306.055
Bandipore,80521.0,47.9,6.6,6.369,9.2,8.492,17555.0,17555.0,1211.295,12990.7
Bandipore,80521.0,30.3,4.3,4.2269,13.5,11.4028,17555.0,17555.0,754.865,16554.365
Srinagar,4518.0,37.3,6.2,6.107,6.7,11.9185,257721.0,257721.0,16236.423,228598.527
Srinagar,4518.0,22.9,2.2,2.1670000000000003,37.9,4.728,257721.0,257721.0,5669.862000000001,252308.85900000003
Srinagar,4518.0,22.7,2.1,2.0685000000000002,38.4,4.6295,257721.0,257721.0,5669.862000000001,252824.30099999998
Ganderbal,63788.0,42.4,6.6,5.9928,6.9,8.353599999999998,13558.0,13558.0,1288.01,9422.81
Ganderbal,63788.0,39.2,6.2,5.697800000000001,8.6,7.995299999999999,13558.0,13558.0,1193.104,9870.223999999998
Ganderbal,63788.0,21.4,4.4,4.3164,18.0,5.885999999999999,13558.0,13558.0,610.11,12378.454
Pulwama,147520.0,41.9,4.2,4.1244000000000005,12.6,6.0884,21703.0,21703.0,998.3379999999999,13607.781
Pulwama,147520.0,41.9,4.1,4.0302999999999995,15.1,5.7997000000000005,21703.0,21703.0,954.9320000000001,14389.089
Pulwama,147520.0,41.9,3.0,2.964,32.0,4.446,21703.0,21703.0,651.09,19771.432999999997
Shupiyan,75616.0,32.2,5.6,5.493599999999999,11.5,15.696,5272.0,5272.0,311.048,3110.48
Shupiyan,75616.0,32.3,5.5,5.395499999999999,13.5,15.009300000000001,5272.0,5272.0,300.504,3221.192
Shupiyan,75616.0,33.4,3.3,3.2307,45.6,4.5034,5272.0,5272.0,173.976,4997.856
Anantnag,207067.0,40.7,4.6,4.4252,5.9,7.9846,70666.0,70666.0,3603.966,35898.328
Anantnag,207067.0,37.7,4.2,4.061400000000001,8.3,7.736000000000001,70666.0,70666.0,3321.302,39996.956
Anantnag,207067.0,27.9,3.0,2.9579999999999997,16.3,6.901999999999999,70666.0,70666.0,2190.646,53352.83
Kulgam,95952.0,47.0,4.3,4.1667000000000005,6.3,6.783,25178.0,25178.0,1183.366,10499.226
Kulgam,95952.0,45.9,4.3,4.1753,7.1,6.8941,25178.0,25178.0,1158.1879999999999,11304.921999999999
Kulgam,95952.0,41.1,4.1,4.009799999999999,10.8,7.2372000000000005,25178.0,25178.0,1057.476,14729.13
Doda,122267.0,55.2,1.4,1.2936,6.3,2.1252,11350.0,11350.0,181.6,2724.0
Doda,122267.0,52.8,1.5,1.3935000000000002,9.8,2.9728000000000003,11350.0,11350.0,192.95,3325.55
Doda,122267.0,23.4,2.9,2.8739,52.5,14.171299999999999,11350.0,11350.0,329.15,10600.9
Ramban,84281.0,40.1,1.6,1.3072,2.9,1.6340000000000001,5341.0,5341.0,112.161,950.698
Ramban,84281.0,39.4,1.6,1.3168,3.2,1.8929,5341.0,5341.0,112.161,1073.5410000000002
Ramban,84281.0,19.3,2.4,2.3712,11.2,8.398,5341.0,5341.0,128.184,4417.0070000000005
Kishtwar,72378.0,48.1,3.2,3.0112,3.0,1.882,5993.0,5993.0,203.762,1198.6
